Question,Tag
"Esse frete grátis tá chegando na data prevista mesmo,? Tem expresso? Se tiver qual o valor e prazo para o cep 45980000",frete
Qual o Estado da bateria?,condicao
Boa tarde! Só tem disponível na cor rosa??,cor
Qual cor tem disponível  ?,cor
"Boa noite, vc tem o 7 128g? Quais cores? Para o cep 69919-340. Agradeço",cor
Esse iPhone vem na cor rosa ?,cor
Os iphone são usados ?,condicao
Qual a cor desponivel,cor
PQ vc alterou o valor do celular?,pagamento
"Qual o tamanho da tela? Preciso de uma tela de 5,5",acessorios
E pro ES,entrega
Vem somente com carregador??,acessorios
Bom dia  A garantia de de qnt tempo? O que está com 100% de bateria e que cor ainda disponível??,garantia
Qual o estado atual do produto?,condicao
Qual cor você tem disponível?,cor
"Vou querer o com a bateria 100%,só o Rose né ?",condicao
Tem outro num estado muito bom ? Com saúde 100%,condicao
Estado é SP capital.,entrega
Qual cor vc tem com a bateria com saúde 100% ?,cor
Produto acompanha nota fiscal e acessorios?,nf
Quanto tempo para realizarem o envio?,entrega
quais cores?,cor
Bahia   Mais eu quero saber o tamanho da tela,especificacoes-tecnicas
Tamanho da tela.?,especificacoes-tecnicas
Tem disponível em outras cores também?,cor
Tem quantos de cor preto disponível amigo?,cor
Qual a vida da bateria?,condicao
qual tempo de garantia do produto,garantia
Entendi então vai demorar pra chagar até mim ?,entrega
Acompanha nota fiscal?,nf
Acompanha NF?,nf
Eu acabei de pagar o iPhone aqui então vc não tem outra cor ?,cor
Oi,agradecimento
Olá boa tarde amigo a e a cor até vc tem desse aparelho  disponível no momento quero efetuar a compra mas só se vc garanti que esse celular não tem riscos tá td perfeito,cor
"vem com o fone de ouvido, carregador ?",acessorios
"É iPhone original mesmo? vem com película, capinha e com carregador?",acessorios
Quais as cores que vc tem disponível  que esteja es estado de novo sem avalias no aparelho sem riscos,cor
"Entendi, efetuei a compra ontem de manhã e você me falou que os correios tem até dois dias pra mandarem o código de rastreio da encomenda.",entrega
"Mais vem na caixa ne isso ? , com carregador e fone original ?",acessorios
"Olá boa tarde, será e os correios mandam o cód de rastreio ainda hj? Me parece q são em dois dias",acessorios
Acompanha caixa ?,acessorios
comprando hoje sai hoje o pedido?,entrega
Ele é original..?,original
"Possui algum detalhe na carcaça , algum arranhão ou algo do tipo ?",condicao
Compra efetuada por Sedex,agradecimento
É original e novo zerado ou usado,original
"O aparelho vem com alguma caixa ? Já que não vem a original ? Ou vem solto, pois facilita estragar...",acessorios
Com relação a  nota fiscal e os asseorios  vc tem,nf
Boa noite! Você fará oferta de dia das mães?,oferta
"Oi, ele está novo? Sem marcas de uso.?",condicao
E novo ?,condicao
Produto e usado?,condicao
Parcela boleto?,pagamento
tem como fazer uma parte do pagamento em dinheiro e outra no cartão de crédito ?,pagamento
Oi  Quero um 8 plus 64 g. Gold.  Tem arranhões ?,condicao
Oi Quero um 8 plus 64 g. Gold. Tem arranhões ?,condicao
Certo obrigada! A qualquer momento estarei fazendo a compra,agradecimento
Estou a procura de um acima de 90 %,condicao
Esse celular vem com nota fiscal?,nf
O que é Case de Proteção Slim Preta? É capinha?,cor
Assim q aprovar o pagamento por favor nao cancele e qual e o brinde?,brinde
Quando vc manda ?,entrega
Os Correios estão enviando normalmente?,entrega
"Olá, gostaria de saber se é tudo original e com nota fiscal?",original
"Até o final do mês de abril, vai continua o mesmo preso?",pagamento
E a transportadora entrega nas nossas casas? Como funciona,entrega
Vem com a note fiscal?,nf
"O carregador ele é internacional, ou é daqui do Brasil mesmo?",acessorios
"Bom dia, você aceita entrada em dinheiro e depois parcelar em cartão?",pagamento
Que dia vcs envia?,entrega
Tem p pronta entrega.?,estoque
Tem prata?,cor
Boa tarde vc tem o rose disponível,cor
Envia pra Pernambuco,entrega
Boa noite tem em outras cores,cor
Cês tão fazendo entregas esses dias,entrega
Vem com nota fiscal eo tamanho da tela dele e de 5.5,nf
O iPhone vem com todos os acessórios originais dele?lacrado?,acessorios
ELe é novo e é original?,original
Lacrado?,condicao
Ainda tem na cor rosa?,cor
"Se eu comprar hoje, chega quando ? E original da Apple ne",entrega
E original?,original
Qual é o brinde ?,brinde
"Como é que eu escolho a cor do celular???? É após eu pagar minha compra, pois já paguei? Eu quero um Iphone rosa ou dourado ( o meu foi o 6s plus 64gb)",cor
Amigo vem na caixa do iPhone mesmo???,acessorios
"olá , tem esse iPhone 6s Plus na cor rose",cor
Olá boa tarde  Vcs tem o 7 plus Branco? Gostaria de saber o valor Obg,cor
"Só rosa,?",cor
"Oii, vem fone de ouvido ?? Boa tarde",acessorios
certo então,agradecimento
Bom dia Vamos fechar em 2.000? Pq tenho que pagar frete ainda. Veja se consegue colocar o carregador original Lhe aguardo,oferta
É novo e lacrado ne?garantia da Apple?,garantia
"Olá, ainda disponível na cor rose?",cor
Amigao tem como colocar fone de ouvido,acessorios
Fazendo a compra hoje retiro quando ?,entrega
Sou do RJ.  Consigo retirar na loja ? E aonde é?,entrega
Amigão ainda tem dourado,cor
Olha posso confiar Nessa compra,condicao
Dividindo no cartão tem juros ? Ou fica a mesma coisa ?,pagamento
Vem com película já?,acessorios
Tem Rose Gold?,cor
E original,original
Tamanho da tela?,especificacoes-tecnicas
Posso comprar com garantia? Esse aparelho é original? Boa tarde,garantia
Tem marca de uso?,condicao
Pq não acompanha a caixa original?,acessorios
Vcs tem aparelhos novos na caixa?,acessorios
"Este aparelho e original ,,,?  E de vitrine ?",original
Tem o sait da loja?,contato
Tem marcas,condicao
ainda disponivel ?,estoque
Oi bom dia vc só tem essas cores,cor
Tem rosa?,cor
"Sou do rio, posso buscar e pagar na hora? Pode me passar o seu número pfr",entrega
Pode retirar na loja?,entrega
Ta bom vou so esperar meu cartao vira ok amigão tem como incluir fone de ouvindo??,acessorios
Amigão esse iPhone ta novinho  sem marcas de de uso sem arranhões por gentileza,condicao
"Ola bom dia, tem disponível Rose ou Dourado de 128Gb sem Juros no parcelamento?",cor
Qual a saúde da bateria?,condicao
Dividi no boleto?tem quais corees?,pagamento
"Olá, teria na cor ouro?",cor
Vou tentar desta maneira,agradecimento
Rose parcela assim 600 de entrada e 8x no boleto,oferta
Possui marcas de uso?,condicao
tem loja fixa? e se tiver eu posso ir retirar ?,entrega
Como tá o estado do aparelho,condicao
Quanto está a saúde da bateria?,condicao
Vem com a Caixa,acessorios
Camera esta em perfeito estado?,condicao
Tela original ou ja foram trocadas?,original
"Vem na caixa? Tem garantia, nota fiscal?",garantia
Ele é usado ou de mostruário?,condicao
"Olá, boa tarde. a tela tem algum risco?",condicao
tem wpp,contato
Original?,original
Tá bom obrigada !,agradecimento
Aceitam o nosso iPhone como forma de pagamento mas volta ?,pagamento
tem o cor preto fosco?,cor
Garantia pela Apple? Vem com nota fiscal?,garantia
"Okk, se eu encomendar na sexta, chega que dia?",entrega
"Entendi,  terá no preto fosco futuramente??",cor
"Olá, teria na cor preto fosco?",cor
O fone que vem é normal ou é adaptador?,acessorios
Por favor me envia pelo wats o vídeo que ia enviar !,contato
Qual cor tá disponível?,cor
Olá VANESSA vai enviar hj o iPhone???,entrega
Qual é o brinde?,brinde
"BOA TARDE , CONSIGO FAZER RETIRADA  HOJE ?",estoque
Produto é novo ? Vem na caixa ? Tem nota fiscal ? Vem os acessórios?,condicao
No X VC TEM NA COR BRANCA???¿¿,cor
No xr vc só tem o preto ou o vermelho?,cor
E no x tb tem o branco?,cor
Vc ainda tem ? Quero comprar hoje ainda..,estoque
Bom dia. Vc tem na cor vermelho e qual o valor do frete para o cep 25555-270 e prazo para entrega?  Paula.,cor
Boa noite gostaria de saber se chegou mais cores desse aparelho. Aguardo retorno e obrigada,cor
Tem branco amigo?,cor
Oiii quais sao os brindes?,brinde
Posta hoje ainda comprando agora?,entrega
Quais cores você tem disponível? Quais são os brindes?,cor
"Amigo a NF vem em meu nome? Ele vem lacrado com todos os acessorios? Comprando agora envia hoje, ou só amanhã?",nf
Na compra de 2 aparelhos tem desconto ?,pagamento
Bom dia  Nota fiscal sai no meu nome ?,nf
Coral não ?,cor
Ola faz 500 a vista?,oferta
Boa tarde gostaria de saber se você tem na cor coral? É original? Vem com fone de ouvido e carregador? Obrigada e aguardo retorno,cor
Tudo funcionando ....tem garantia ?,garantia
Ola! Tem o preto? Lacrado e omologado anatel?,cor
Tem branco?,cor
Bom dia . A nota fiscal vem no meu nome ?,nf
"Homólogo pela Anatel , nota fiscal , tudo tudo ??",nf
"Bom dia , tem o xr branco a pronta entrega ????",estoque
Comprando agora vocês enviam amanhã ?,entrega
Consigo pagar um pouco no dinheiro e no cartao ?,pagamento
Ola boa tarde vc tem em todas as cores ?,cor
"Boa tarde, comprando hoje vc consegue postar amanha?",entrega
"Boa tarde, vem com nota fiscal? comprando hoje , você já me envia hj?",nf
Ola amigo! Esta disponivel?,estoque
"Opa amigo, comorando hoje ou amanha vc ja me envia ou so segunda?",entrega
Ok Obrigado,agradecimento
O pedido vem pelo Correio ou Transportadora ?,entrega
O aparelho e novo?,condicao
Qual o menor preco que vc faz? Em Dh,pagamento
Boa noite e novamente obrigada !,agradecimento
Isso mesmo ! Maravilha obrigada estou aliviada!  Obrigada boa noite! ^^,agradecimento
Já comprei uma unidade acho que agora deu certo.,agradecimento
Obrigada!,agradecimento
Conseguiria fazer 800$!,oferta
qual tamanho da tela,especificacoes-tecnicas
Oi ele vem lacrado na caixa original?,condicao
Qual o tamanho da tela? Só tem de vitrine?,especificacoes-tecnicas
Boa noite como faço para comprar em 2 cartões?,pagamento
Tem apenas qual cor disponível?,cor
Este produto é novo? Zerado?,condicao
Faz 1.800?,oferta
acompanha fone de ouvido?,acessorios
Preço subiu.. to caindo fora,pagamento
Valor e de quantos,pagamento
Por que tem hora q tem um preco dos aumenta ?,pagamento
Vão chegar mais ?,estoque
Qual a vida útil da bateria?,condicao
"Adorei o produto,  surpe indico 100% confiável",agradecimento
parcela pelo boleto via mercado pago,pagamento
TEM DESCONTO NO CARTÃO?,pagamento
Sim foi efetuado a compra  do rose :),agradecimento
Ele e desbloqueado né ?,especificacoes-tecnicas
Quais cores você tem ?,cor
O carregador e fone de ouvido são originais apple?,acessorios
Olá boa noite ? Tem disponível na cor ouro ? Pronta entrega ?,cor
Aceita j2 prime bom novo e 200reais,oferta
Oii tdo bem ??,agradecimento
no boleto faz menos?,oferta
Vem com fone de ouvido e carregador original apple?,acessorios
"Bom dia, ele é os que fiacam na vitrine? Tem garantia?",garantia
"Vc teria cor prata, rosa ou dourado?",cor
"Bom dia, acabo de efetuar o pagamento via boleto. :)",pagamento
O frete para o CEP 28633.510,frete
A cor é preto igual do anúncio ?,cor
Ainda tem a cor dourada ??,cor
Bom dia! Tem na cor dourada? Vem na caixinha ?,cor
Tem na cor dourada disponível?,cor
vem fone?,acessorios
Tem como vc fazer frete grátis para mim efetuar á compra?,frete
Bom dia  A forma de pagamento só tem o valor total no cartão? Não tem como dar uma entrada e parcelar o restante?,pagamento
Me passa seus contatos,contato
Boa tarde poderia pagar aqui e retirar com voce sou de suzano e preciso urgente,entrega
Faz por 900?,oferta
Vcs tem 7 plus 128gb na cor dourado??,cor
Olá qual a cor que VC tem e como está a bateria,cor
Você tem na cor dourado?,cor
quero na cor rosa ouro tem? vem com NF?,cor
Como faço pra entra em contato me ajuda,contato
Boa tarde! Você tem na cor dourado (ouro)? Obrigada!,cor
"Porque alterou o valor? Semana passada eu questionei você sobre o aparelho e o mesmo estava 2.799,00 agora está 5.000",pagamento
Boa tarde vcs tem na cor rosa ?? Quanto sai a vista esse 8 plus 64 gb ???,cor
E se for 2500?,oferta
Qual cor disponível ?,cor
Mas o frete tá custando quase mil reais existe isso não,frete
Que frete é esse 999 ? CEP 59690000,frete
Valor do frete é o mesmo do celular?,frete
"O valor do frete para 62.870-000 é o mesmo valor do celular? Não entendi, aguardo.",frete
"Cara vcs são brincalhão ..172,00 de frete nem pra Europa é esse valor..roubo",frete
R$535 reais de frete .Muito caro o frete .pra manaus Tem como melhora esse frete ?,frete
Agente escolhe a cor mandara certo e ser vi com defeito devovera hou dinheiro,cor
Poderia entra em contato com vendendo  queria saber ser e produto  original  e confiável,contato
Tem desconto para pagamento a vista?,pagamento
"Bom.dia amigo estou querendo comprar o iPhone mais o frete é 1,000 Não entendi porque esse frete e tão caro",frete
Frete bom dia amigo pretendo comprar o iPhone mais o frete está mais caro Duque o aparelho mil reais o frete para meu CEP porque ?????,frete
Oi Vc troca iPhones?  Por exemplo eu troco meu iPhone pela metade do preço desse iPhone que vc está vendendo ou o valor que você quiser vc troca?,oferta
Tem.carregado ?,acessorios
faz 700 fecho agora...,oferta
Tem na cor preto ou branco??,cor
boa tarde. Quero muito esse celular na cor Rosa.. Ele já foi usado? Precisou fazer formatação para limpar uso anterior? Porque não vem o fone de ouvido?,cor
"vc teria um com a bateria 100% e sem arranhões, e da cor prata ou cinza?",cor
Tem disponível na cor Gold?,cor
Ou eu poderia está passando ele no valor de 500 pra vcs ?,oferta
Em mano,agradecimento
ainda está disponível,estoque
TEM NA COR ROSE?,cor
Qual o valor do imposto para Bahia ?,pagamento
Teria como dar um valor de entrada e parcelar o restante?,pagamento
ate dia 6/04 vai estar o mesmo valor?,pagamento
"BOA TARDE, SÓ TEM NA COR PRATEADOR?",cor
Bom dia. Qual a saúde da bateria? O aparelho apresenta alguma marca de uso? Tem quanto tempo de comprado?,especificacoes-tecnicas
Bom dia vendedor após o pagamento a entrega é imediata?,entrega
Boa tarde tem da cor azul,cor
Boa noite! Tem na cor preta?,cor
Quero saber se tão fazendo entrega pra Belém do Pará! Consultar o frete eu sei!,frete
"Diz que o frete é 999,90, isso é correto?",frete
Qual o frete para 59695-000?,frete
Qual o valor a vista?,pagamento
Valor do frete tá um absurdo!,frete
Boa noite o produto é novo?  Quais as cores?,condicao
Tem oportunistas para tudo. Infelizmente já sofri golpe por aqui. Obg mas dessa forma não vou arriscar.  Agradeço,agradecimento
Qual seria o menor valor??,pagamento
O celular é novo nunca usado,condicao
Bom dia ! Tem na cor verde? Gostaria de saber também se é possível dar uma entrada de 1000 reais e parcelar o restante em 10 x sem juros?,cor
Tem na cor rosê?  E esse é o plus?,cor
Seria possível dá um valor de entrada e parcelar o restante ?,pagamento
As telas tão boas,especificacoes-tecnicas
O produto está disponível?,estoque
Boa tarde! Estou em busca de tablete de apple 32 g! Vcs tem e qual o valor por favor ! Obg,pagamento
Eu moro na região de Teodoro Sampaio e eu quero saber se o frete é grátis,frete
"Olá boa tarde, o frete é grátis só por uns dias ou não",frete
bom dia ihpone e de vitrine e vcs ter cor cinza?,cor
Vocês tem a cor preta,cor
Tem outra cor ?,cor
Aceita 1100?,oferta
Boa noite somente na cor vermelha?,cor
Boa noite vc pega s10 novo na caixa como forma de pagamento,oferta
Tem algum telefone de contato ?,contato
Ele pega tudo certinho,especificacoes-tecnicas
qual menor valor ?,pagamento
Não tem chance de obter o valor anterior?,pagamento
Olá tem na cor rosa ?,cor
Blz. Que cor você tem. Só esse na prata mesmo,cor
Tem como dar um valor de entrada?,pagamento
Tem da cor branca? E com o fundo cinza oi dourado?,cor
Boa tarde. Ainda está disponível ? Gostaria na cor branca. Possui garantia ?,cor
Olá você tem pro max 512 gb na cor Gold?,cor
Tem a cor branca ?,cor
Gostaria de realizar a compra ele na cor branca?,cor
Tem disponível na cor branca?,cor
Disponível na cor branca?,cor
"Ok, Sorry",agradecimento
"Opa quero comprar, tem nota?",nf
"Ah,tá entendi Agora",agradecimento
Bom dia! Tem na cor cinza espacial ?,cor
Boa noite! Qual o valor à vista?,pagamento
Me passa telefone pra contato,contato
Legal e qual é o valor,pagamento
Qul o valor e forma d pagamento,pagamento
eu comprando por aki consegue me enviar o na cor prata,cor
tem ele na cor silver amigo ?,cor
Boa noite. Ele ta com qual versão do ios?,especificacoes-tecnicas
"Uai, eu não entendi uma coisa. Se é nacional, e ele nunca foi usado, porque a garantia não é APPLE, de 12 meses?",garantia
Amigão o sistema dele e iOS  ou Android ???,especificacoes-tecnicas
"Boa noite, tem na cor rose?",cor
"Ola boa noite,vc tem esse iPhone na cor ouro",cor
Que cor esta disponível?,cor
Essa cor e ouro né pq parece um pouco na foto que  e rosa,cor
Amigo o frete ta dando 1.090 tem algo de errado nisso,frete
Bom dia. Pode ser retirado em loja física? Pois o frete está um absurdo de caro.,frete
Qual valor do frete 64045795,frete
Algum brinde capinha película?,brinde
Qual menor preço,oferta
sim qual cor disponivel do aparelho?,cor
Tem na cor vermelho e preto?,cor
Pq o frete está 900 reais,frete
Por que o frete está tão caro?,frete
Por que o valor do frete é tão caro com vocês?,frete
Boa noite!! Tem disponível na cor preta?,cor
"Bom dia,  tem disponivel na cor prata ?",cor
Ainda tem a pronta entrega?,entrega
Faz por 200 se não o frete e muito caro pra mim,oferta
"Bom dia, tudo bem? Eu consigo utilizar dois cartoes de créditos para realizar a compra ?",pagamento
o valor do frete ta um absurdo quase 500 reais e moro na capital,frete
Bom dia faz 70 compro agora mesmo?,oferta
"bom dia, pode verificar se o valor frete ta correto pr 69306405?",frete
Desbloquear meu contato,contato
"Eu cliquei, mas não acreditei no valor que me apareceu. O valor de R$ 1.110,00 para um celular está totalmente fora do valor real cobrado pelos correios ou transportadora. Por isso enviei a mensagem.",frete
"O valor do frete é esse mesmo 591,09????",frete
"Bom dia ! O preço estar ótimo , mas o valor do frete estar muito caro!",frete
"Pode conferir pra mim se o valor do frete está correto R$999,99 ??",frete
faz 2000?,oferta
Boa noite. Gostaria de saber o valor do frete para o CEP:59300-000. E quanto tempo para a entrega??,frete
Por que o Frete pro cep é 69306440 é  quase 500 reais,frete
Olá bom dia.. teria na cor dourado?,cor
Pagando o frete expresso não corro o risco de atrasar a entrega?,frete
Só tem nessa cor aí?,cor
Tem na cor dorada ?,cor
Está disponível ainda? Funcionando normalmente,estoque
Oii faz 1300?,oferta
Tem na cor rosê? e ele é o Plus?,cor
Boa tarde e frete gratis mesmo?,frete
Tem na cor preto?,cor
teria a cor rose gold,cor
Tem cor vermelha?,cor
Tem algum com bateria de 90% p eu comprar agora? Qual cor vc tem?,cor
Boa tarde o frete costa 350 reais normal como faz?,frete
"Boa tarde , Tem como nao cobrar o frete ? Voces tem o Dourado ?",frete
"Olá qual a cor disponível,?",cor
"Qual a lógica do frete estar sendo cobrado este valor?? Totalmente fora da realidade do mercado. Tenho interesse em comprar o produto, porém sem este frete totalmente abusivo. Revejam isso brevemente e comprarei com vocês, caso contrário estarei comprando com o concorrente de vocês. Grato!!",frete
"Por que esse frete totalmente fora do normal?? Ta cobrando dos EUA para ca é? R$419,00 é irrisorio!",frete
Qual o menor valor para passar o cartao agora ?,pagamento
Tem na cor dourada,cor
Tem qual cor disponível?,cor
"Olá,  essa cor cinza espacial e o preto ?",cor
Essa cor vc tbm tem de 256 gigas,cor
Vc tem o dourado nesse valor ?,cor
Qual o valor do 128 GB?,pagamento
Ainda está disponível???,estoque
"É frete grátis para o cep 69309590?  Para esse cep, com quantos dias recebo assim q fizer o pgmto ?  Quais as cores q vc tem?  Posso pagar parte no boleto, e parte no cartão de crédito ?",frete
"tem como fazer nesse preço mais parcelado, compro hoje se tiver ?",oferta
Qual valor a vista?,pagamento
tem previsão de chegar na cor dourado pra vc?,cor
Bom Dia! Tem a cor Rose disponível?,cor
Boa noite qual valor avista,pagamento
"Oi, vc tem outra cor sem ser rosa?",cor
a cor preta é preto matte ou preto brilhante?,cor
Ainda disponível na cor rosa ? Voces mandam foto do aparelho após a compra ?,cor
tem o na cor dourado pfvr?,cor
"Boa Noite, Vc tem do mesmo modelo de outra cor ? Preto ou prata ?",cor
Qero na cor prateado esse rosa não,cor
"Produto original Apple,vc só tem essa cor rosa ou e dourado.",cor
"Boa noite gostaria de saber como eu pagaria estes boletos 12de274,75 VCS poderia entrar em contato comigo por favor",contato
Recebendo em mãos dica o mesmo valor?,pagamento
Boa tarde ! Original lacrado ? Tem na cor gold e a caixa e da cor do aparelho,cor
"Olá, aceita AppleWatch 4 44 mm novo na caixa como parte do pagamento?",oferta
Bom dia! Faz por 1200 a vista? Qual cor teria disponível ? Obrigado.,cor
Me manda seu whatsapp,contato
"Boa noite, quero fazer a compra De um mas queria saber exatamente com qual % de bateria está e se tem na cor branca pra eu não ter que fazer devolução.",cor
Bom dia vc tem na cor cinza especial e na pergunta enterro acho q vc não entendeu é assim eu tenho um cartão de crédito no valor de 3000 e já tentei comprar mas não passa queria q vc faz por 3000 e manda um link novo no valor pelo mercado livre mesmo para eu concluir a compra se dar para vc fazer 3000,cor
Obrigada ! Respondeu minha pergunta !,agradecimento
Passa se whats,contato
ten na  cor preta ? estou querendo com urgencia,cor
"Boa noite, tem disponivel na cor branca por gentileza? Está enviando normal por conta da covid ??",cor
Disponível só na cor cinza ?,cor
Tem outras cores sem ser preto??,cor
Quando vai chegar na cor dourado ou rose?,cor
As 3 cor está disponível ?,cor
Gostaria de saber se faz por 2.400 com frete para Minas Gerais dividido em 4x?,frete
Então qual o mínimo nesse anúncio sem juros que poderia fazer ? E qual o mínimo no anúncio grátis ?,oferta
trocaria por um notebook novo preco dele 1 800,oferta
Tem outra cor tipo dourado ??,cor
"Boa tarde.No anúncio o iPhone XR é Red,mas a foto é um iPhone na cor preta.Qual cor disponível?Vc tem pronta entrega?",cor
Boa tarde amigo! Vc tem o iPhone na cor preta? Fazendo a compra hoje chega no dia 08/ 04?.  Grato,cor
Vem com fone de ouvidos carregador e caixa original?,acessorios
Só esse que é o problema dele,especificacoes-tecnicas
"Mais eu posso usar ele normalmente como redes sociais, pesquisas e fotos?",especificacoes-tecnicas
Boa tarde. Ainda disponível na cor prata? É original com todos os acessórios né?,cor
Tem na cor Rose?,cor
Esse e de vitrine ou de outra pessoa? Vem nf no nome do comprador,especificacoes-tecnicas
"Sim, compro sim. Vem com o que? Esta funcionando tudo perfeitamente?",acessorios
Novo,condicao
O produto é novo e original? Tem na cor vermelha?,cor
Boa tarde! É produto usado mesmo ou usado como mostruário? Tem na cor prata?,cor
Qual cor tem disponível?,cor
"Olá, gostaria de saber se tem este modelo na cor vermelha?",cor
"Olá, tem na cor preta??",cor
Vc tem na cor rosa,cor
Tem na cor red ?,cor
Tem na cor rosé?,cor
Tem outra cor q não seja essa rose e prata,cor
Tem na cor dourado?,cor
Tem algum detalhe (risco ou amassado) no Rose? Já está no melhor preço ou consegue fazer um valor melhor? Está enviando normalmente?,condicao
Tem na cor CINZA ESPACIAL?,cor
Opa! Vcs teriam na branca com prata ?,cor
Tem como criar um anúncio sem parcelamento grátis e deixar ele mais barato ?,pagamento
Por acaso voce n¿o teria nenhum na cor vermelha,cor
É de 256gb MESMO?,especificacoes-tecnicas
Boa tarde a garantia é somente de 3 meses porque? Não tem garantia de 1 ano?,especificacoes-tecnicas
"Tem como fazer uma parte do pagamento à vista e parcelar o restante ? Só para confirmar: tem na cor cinza ou preto, vem com carregador e nota fiscal ?",pagamento
Qual cor vc tem ? O que vem no celular ? Vem uma capinha e uma pelicula de brinde ?,cor
Bom dia amigo vc falou frete grátis mais tá valor do frete 35 reais  mais é original vem ma caixa tem garantia,frete
Quando chegar na cor rose voces podem me avisar?,cor
Ata..  tem na cor rose?,cor
Bom dia! ainda tem na cor preta ? ou cinza espacial?,cor
Qual a cor disponível?,cor
Vc tem que cor ? Comprando hj envia quando ? E lacrado ?,cor
Esse é de cor vermelho e branco?,cor
Vem  com fone ??,acessorios
O celular não tem defeito não ne,especificacoes-tecnicas
Boa tarde! A cor vermelha está disponível? Ele é refurb?,cor
Boa noite ? Tem a cor ouro disponível?,cor
Qual a cor da capinha?,cor
"Boa tarde, tem o verde a lronta entrega? Lacrado? Nota fiscal?",estoque
Boa noite! Consegue na Cor Prata?,cor
Olá qual cor possui disponível?,cor
Que Cor tem disponível?,cor
Tem condições de melhorar valor ?,pagamento
"Boa tarde, Desbloqueado? Nf para PJ? Consegue melhor valor para PJ? Quais cores disponíveis?",nf
"Quero comprar, porém dividir em dois cartões",pagamento
Tem na cor cinza ?,cor
A empresa tem whats ou instagram?,contato
Boa noite! se fizer em 10 vezes sem juro vou fazer a compra,pagamento
Olá Bom dia ... Alguma possibilidade em reajuste no valor ?,pagamento
Tem a cor prata,cor
Olá boa tarde gostaria de saber se você tem ele na cor rosa,cor
E fazer por 1215?,oferta
OI OI  GOSTARIA DE SABER SE SO TEM NA COR PRETA ...ESTOU QUERENDO EFETUAR A COMPRA  MAS QUERIA NA COR PRATA,cor
Você  teria o Iphone Plus 8 na cor Rose ( dourado)? Obrigado,cor
"no caso, após a compra, o valor do celular vocês dividem em 12X, né isso ? e aí todo mês eu fico dando o valor.",pagamento
"como faço pra ter mais contato com vocês, para poder efetuar a compra ?",contato
Ola. Bom dia tem ele na cor vermelha,cor
Esse produto é usado?,condicao
Tem disponível na cor rose?,cor
pq não colocou descrição do produto  de vitrine ou usado de terceiros,condicao
Aparelho e acessórios originais? Tem na cor cinza espacial?,cor
"Queria efetuar minha compra, teria na cor Rose?",cor
Queria a cor rose,cor
Tem a cor Rose,cor
Vcs tem na cor dourado? E vem o fone e o carregador original?,cor
Tem a cor prata? Branca na frente,cor
E tem a cor rosa ?,cor
Na cor prata está disponível?,cor
Bom dia sabe me dizer como esta a saúde da bateria,especificacoes-tecnicas
Qual valor da réplica iPhone 11 pro Max 64 Giga ?,pagamento
"Claro. Nas configuraçoes, bateria. Aí vai aparecer como tá a saude da bateria?",especificacoes-tecnicas
Prazo de entrega ?,entrega
E tá limpo aicloud,especificacoes-tecnicas
256 g cinza espacial mas se não tiver essa cor pode ser outras,cor
Esse é o menor valor?,pagamento
Tem ele na cor branca?,cor
O numero 4 ainda ta a venda? E ta esse preço mesmo?,estoque
"Boa tarde,qual cores disponíveis? Envio tá  normal?",cor
É novo lacrado ??,condicao
a cor 976 tá outro iPhone !!!,cor
Vou comprar mas aqui não esta frete grátis sendo q moro na região Norte.,frete
O valor é 797 mesmo?,pagamento
qual a cor do iphone 7 prata,cor
"Bom dia , vc tem a cor dourado ?",cor
Vc tem a pronta entrega na cor dourada?,cor
Você tem o verde ainda disponível? Na opção de seleção de cor está somente o preto. Abs,cor
Você ainda tem esse modelo na cor verde meia noite para pronta entrega? Posso retirar em mãos com você após a confirmação do pagamento?,cor
"Vou pagar a vista, mas não fica mais barato para você anunciar o valor de 8800 com juros?",pagamento
Faz desconto para pagamento à vista?,pagamento
Só tem essa cor dourada?,cor
Faz troca?e mais um Dinheiro?,oferta
Qual a cor disponível? Tem nf do aparelho?,cor
tem na cor rosa,cor
Boa noite qual cor você tem disponível,cor
Qual a cor que você tem? E como está a bateria?,cor
Só tem a cor ouro rosa msm?,cor
Tem na cor preta?,cor
"Quero comprar o 7 avista, consegui um valor bom pra mim ?",pagamento
"O valor é R$ 2,199? Passa em 2 cartões?",pagamento
"boa tarde, tem nota fiscaldo aparelho qdo foi comprado? tem a possibilidade de dar entrada em valor e parcelar no cartão o restante?",pagamento
Valor mais baixo da parcela é de 249?,pagamento
Teria a possibilidade de fazer o pagamento uma parte depósito ou boleto e o restante em cartão?,pagamento
Qual o menor valor no iPhone?,pagamento
Tem zap pra me mostra o outro. Não ?? Ou link,contato
Qual valor ?,pagamento
Aceita $200 frete gratis pago amanha o boleto,frete
Olá você ainda tem o modelo na cor preta ?,cor
Boa Npite . Existe a possibilidade de vcs enviarem atravres do Sedec 10 ? Eu pagp a diferenca no valor do frete . Aqui esta i formanfo que so chega no dia 17 04  no ecpresso e dia 20 no normal,frete
OLÁ. TEM A COR BRANCA?,cor
Olá! Gostaria de saber se ainda há o aparelho na cor preta disponível.,cor
qual valor à vista do 7 plus 32?,pagamento
da pra fazer por 700?,oferta
Negociar o valor?,pagamento
Tem garantiz,especificacoes-tecnicas
Certo! Aparelho em uso? Estado de novo ? Saúde da bateria? É desbloqueado o iCloud?,condicao
